username,public_repos,public_gists,followers,following,created_at,updated_at,hireable,company,blog,location,type,site_admin
public-apis,1,0,5829,0,2019-05-28T12:23:44Z,2021-08-24T17:57:08Z,,,,,Organization,False
EbookFoundation,37,0,10574,0,2015-09-04T14:12:36Z,2024-09-27T02:35:44Z,,,https://ebookfoundation.org/,virtual,Organization,False
donnemartin,27,0,23967,2,2013-09-14T15:45:40Z,2026-03-12T01:24:17Z,True,@facebook,http://donnemartin.com/,"Washington, D.C.",User,False
vinta,29,2,9403,122,2011-03-05T03:52:00Z,2026-06-11T15:49:30Z,True,,https://vinta.ws/code/,Taiwan,User,False
TheAlgorithms,44,0,62596,0,2016-07-16T08:17:02Z,2021-05-08T06:44:32Z,,,https://the-algorithms.com/,India,Organization,False
NousResearch,85,0,6108,0,2023-05-20T20:00:19Z,2026-05-29T03:46:57Z,,,https://nousresearch.com,,Organization,False
Significant-Gravitas,28,0,4427,0,2023-04-14T07:01:09Z,2026-05-23T17:27:27Z,,,agpt.co,,Organization,False
yt-dlp,14,0,3902,0,2021-02-24T14:52:59Z,2026-06-06T14:23:59Z,,,https://discord.gg/H5MNcFW63r,,Organization,False
AUTOMATIC1111,45,5,17805,0,2016-08-09T05:39:07Z,2026-04-05T14:00:15Z,,,,,User,False
huggingface,439,0,64575,0,2017-02-12T11:20:28Z,2025-10-09T16:40:46Z,,,https://huggingface.co/,NYC + Paris,Organization,False
521xueweihan,165,11,12817,186,2014-07-24T10:16:33Z,2026-05-25T11:40:14Z,,公众号：HelloGitHub,hellogithub.com,"Beijing, China",User,False
microsoft,8014,0,122561,0,2013-12-10T19:06:48Z,2025-06-06T20:30:56Z,,,https://opensource.microsoft.com,"Redmond, WA",Organization,False
anthropics,90,0,69684,0,2020-12-19T18:49:20Z,2025-05-20T18:06:55Z,,,https://anthropic.com,United States of America,Organization,False
langflow-ai,11,0,2786,0,2021-06-10T18:03:03Z,2025-05-16T14:25:32Z,,,https://www.langflow.org/,,Organization,False
open-webui,24,0,4858,0,2024-01-30T07:00:54Z,2026-01-03T08:37:36Z,,,https://openwebui.com,,Organization,False
ytdl-org,6,0,873,0,2019-03-09T10:37:59Z,2020-04-06T13:31:04Z,,,https://yt-dl.org/,,Organization,False
langchain-ai,243,0,19840,0,2023-03-02T00:37:16Z,2026-06-10T13:58:47Z,,,https://www.langchain.com,United States of America,Organization,False
Comfy-Org,68,0,2676,0,2024-04-10T03:46:11Z,2026-06-07T17:00:14Z,,,https://comfy.org,,Organization,False
Shubhamsaboo,177,5,8525,3,2017-08-28T02:05:25Z,2026-06-02T00:52:52Z,True,Google,https://www.theunwindai.com/,,User,False
github,551,0,77408,0,2008-05-11T04:37:31Z,2026-05-06T23:12:05Z,,,https://github.com/about,United States of America,Organization,False
deepseek-ai,34,0,93200,0,2023-10-18T09:17:52Z,2024-03-23T17:55:39Z,,,https://www.deepseek.com/,,Organization,False
openai,255,0,123620,0,2015-10-03T19:34:05Z,2026-04-17T23:58:17Z,,,https://openai.com/,,Organization,False
pytorch,70,0,13193,0,2016-08-13T05:07:47Z,2026-05-07T21:24:50Z,,,https://pytorch.org,where the eigens are valued,Organization,False
fastapi,10,0,3378,0,2024-01-11T17:41:07Z,2024-07-30T01:03:21Z,,,https://tiangolo.com/github-fastapi/,,Organization,False
browser-use,45,0,3670,0,2024-12-17T16:30:16Z,2026-06-01T23:43:29Z,,,https://browser-use.com,United States of America,Organization,False
nvbn,101,48,2095,10,2011-10-09T18:21:18Z,2026-06-03T21:29:20Z,True,,https://nvbn.github.io,"Amsterdam, The Netherlands",User,False
hacksider,164,0,2975,9,2011-12-16T06:16:47Z,2026-03-28T22:05:30Z,,,,,User,False
nextlevelbuilder,11,0,1047,0,2025-11-30T11:07:51Z,2026-03-19T10:39:35Z,,,https://nextlevelbuilder.io,Vietnam,Organization,False
django,30,0,9556,0,2008-10-06T19:43:18Z,2026-05-18T11:31:50Z,,,https://www.djangoproject.com/,Internet,Organization,False
home-assistant,106,0,19534,0,2015-08-18T04:27:28Z,2026-02-12T22:24:13Z,,,https://www.home-assistant.io,Your home,Organization,False
3b1b,9,0,40514,0,2015-03-22T18:42:35Z,2026-04-16T23:57:22Z,,3Blue1Brown,www.3blue1brown.com,,User,False
harry0703,7,0,1889,2,2013-07-03T09:21:24Z,2026-05-31T08:05:42Z,,,,,User,False
karpathy,63,13,199023,8,2010-04-10T17:55:32Z,2026-03-09T20:56:54Z,,,https://twitter.com/karpathy,Stanford,User,False
TauricResearch,3,0,2707,0,2024-12-26T12:55:22Z,2025-06-09T09:04:10Z,,,,United States of America,Organization,False
sherlock-project,4,0,2639,0,2019-03-06T17:44:56Z,2024-06-02T07:16:54Z,,,https://sherlockproject.xyz,,Organization,False
vllm-project,42,0,3438,0,2023-06-18T14:54:57Z,2026-03-17T06:12:05Z,,,,,Organization,False
bregman-arie,42,2,5024,17,2014-12-30T13:20:32Z,2026-06-13T11:51:49Z,,Akamai,http://codingshell.com,,User,False
infiniflow,12,0,1185,0,2020-08-20T09:04:23Z,2026-03-03T04:12:49Z,,,,,Organization,False
PaddlePaddle,108,0,7107,0,2016-11-17T22:32:15Z,2026-06-01T14:56:35Z,,,http://paddlepaddle.org,,Organization,False
fighting41love,319,2,2280,20,2015-03-14T14:29:45Z,2026-04-13T01:25:24Z,,@寻人微博 机器人作者,https://zhuanlan.zhihu.com/yangyangfuture,知乎专栏：https://zhuanlan.zhihu.com/yangyangfuture,User,False
swisskyrepo,14,2,10537,13,2015-04-28T11:41:52Z,2026-06-09T08:21:50Z,,,https://swisskyrepo.github.io/,,User,False
d2l-ai,50,0,3682,0,2018-10-08T23:47:16Z,2020-10-27T20:41:18Z,,,https://D2L.ai,,Organization,False
tensorflow,107,0,21427,0,2015-11-04T19:32:50Z,2025-06-28T19:58:28Z,,,http://www.tensorflow.org,,Organization,False
Z4nzu,25,1,4214,17,2017-02-11T15:27:48Z,2026-06-11T14:12:12Z,True,,https://hardikzinzu.com/,India,User,False
OpenHands,41,0,403,0,2025-08-11T16:25:09Z,2026-05-28T16:46:13Z,,,https://openhands.dev,,Organization,False
python,91,0,31270,0,2012-03-11T15:56:37Z,2026-06-09T17:01:03Z,,,https://www.python.org/,,Organization,False
josephmisiti,296,144,4473,302,2010-04-17T21:09:13Z,2026-06-11T16:17:11Z,True,Math & Pencil ,http://blog.josephmisiti.com/,"Miami, FL",User,False
hiyouga,64,1,6369,96,2015-12-11T14:43:24Z,2026-06-13T10:25:04Z,,Millennium Science School,https://x.com/hiyouga_dev,"Beijing, China",User,False
pallets,17,0,2328,0,2016-01-17T21:29:18Z,2026-06-09T17:10:32Z,,,https://palletsprojects.com,,Organization,False
bytedance,410,0,18056,0,2013-04-15T08:03:53Z,2026-03-20T05:48:29Z,,,https://opensource.bytedance.com,Singapore,Organization,False
binary-husky,71,0,1596,2,2021-12-15T15:10:43Z,2026-03-24T03:00:45Z,,,,,User,False
pewdiepie-archdaemon,2,0,29668,0,2025-08-27T21:42:51Z,2026-06-03T22:41:36Z,,,,,User,False
OpenBB-finance,32,0,2386,0,2021-03-04T18:42:27Z,2025-08-21T21:14:00Z,,,www.openbb.co,,Organization,False
ansible,302,0,3624,0,2012-03-06T14:55:51Z,2026-04-03T20:46:46Z,,,https://www.ansible.com/,United States of America,Organization,False
FoundationAgents,22,0,991,0,2025-02-06T09:43:08Z,2025-12-18T07:07:49Z,,,,,Organization,False
unclecode,124,14,1683,2,2015-05-18T09:41:03Z,2026-06-12T00:41:00Z,,"AlephNul, and KidoCode",http://kidocode.com,Singapore,User,False
opendatalab,67,0,2787,0,2022-01-11T06:43:49Z,2022-09-15T09:38:20Z,,,https://opendatalab.org.cn,China,Organization,False
labmlai,12,0,2829,0,2020-04-21T08:19:47Z,2021-08-16T10:58:18Z,,,https://labml.ai,,Organization,False
safishamsi,12,0,1386,0,2025-06-14T22:34:09Z,2026-05-04T07:23:04Z,,,,"London, United Kingdom",User,False
unslothai,9,0,3111,0,2023-11-15T12:23:54Z,2026-06-06T16:51:30Z,,,https://unsloth.ai/,United States of America,Organization,False
shareAI-lab,38,0,3395,0,2024-11-21T08:00:02Z,2026-01-02T10:32:52Z,,,shareAI-Lab.com,Singapore,Organization,False
666ghj,7,0,4199,3,2022-08-01T11:43:11Z,2026-06-05T15:38:08Z,,BUPT,,"Shanghai, China",User,False
xtekky,75,12,5392,20,2022-01-28T19:10:58Z,2026-06-13T08:09:16Z,,"@onlpx, @onlpsec, @gpt4free",t.me/xtekky,Europe,User,False
scikit-learn,17,0,5513,0,2010-08-16T07:44:52Z,2025-11-03T14:59:31Z,,,http://scikit-learn.org,,Organization,False
